75,1112,77
76,1112,77
77,1112,52
78,1112,73
79,1112,70
80,1112,43
81,1112,47
82,1112,56
83,1112,62
84,1112,58
85,1112,70
86,1112,53
87,1112,80
88,1112,51
89,1112,62
90,1112,76
91,1112,56
92,1112,49
93,1112,73
94,1112,59
95,1112,57
75,1113,73
76,1113,33
77,1113,70
78,1113,63
79,1113,79
80,1113,61
81,1113,77
82,1113,62
83,1113,71
84,1113,59
85,1113,82
86,1113,69
87,1113,63
88,1113,83
89,1113,71
90,1113,81
91,1113,86
92,1113,83
93,1113,56
94,1113,72
95,1113,37
75,1114,65
76,1114,72
77,1114,89
78,1114,67
79,1114,74
80,1114,55
81,1114,96
82,1114,88
83,1114,81
84,1114,73
85,1114,62
86,1114,76
87,1114,60
88,1114,85
89,1114,98
90,1114,68
91,1114,67
92,1114,98
93,1114,91
94,1114,62
95,1114,78
